List Name,Card Name,Card Description
Sprint 1 — Бустеры (ядро),"BoosterBase + IBoosterContext","Создать абстрактный класс BoosterBase : CollectibleBase с методами Apply(CharacterBase, IBoosterContext) и Revert(CharacterBase). Создать интерфейс IBoosterContext с полями TerritoryManager / Grid / KillManager."
Sprint 1 — Бустеры (ядро),"BoosterHandler на CharacterBase","Компонент [RequireComponent] на CharacterBase. Управляет активным бустером: запуск / таймер / Revert. Метод Activate(booster, owner, context). Метод ForceRevert."
Sprint 1 — Бустеры (ядро),"CharacterBase: новые методы","Добавить SetSpeedMultiplier / SetTrailInvincible / SetSpikesActive. Подключить case BoosterBase в OnItemCollected."
Sprint 1 — Бустеры (ядро),"SpeedBooster","Увеличивает скорость в N раз на Duration секунд. Mover.SetSpeedMultiplier. Самый простой — для проверки всей системы."
Sprint 1 — Бустеры (ядро),"BoosterSpawner","По аналогии с CoinSpawner. Список префабов бустеров. Спавн на случайных нейтральных гексах. Лимит одновременных бустеров. Регистрация в CollectibleRegistry."
Sprint 1 — Бустеры (ядро),"Bootstrap: подключить BoosterSpawner","Добавить SetRegistry + Init для BoosterSpawner в Bootstrap.Awake."
Sprint 2 — Бустеры (остальные),"WingsBooster","При смерти — воскрешение: телепорт на свободный гекс + GiveStartTerritory. Флаг _hasRevive. CharacterBase.Die() проверяет BoosterHandler.TryRevive(). Добавить TerritoryManager.GiveStartTerritory(character, hex)."
Sprint 2 — Бустеры (остальные),"SpikesBooster","Trейл убивает врагов при касании. Conqueror._spikesActive. Коллизия с врагом на трейле → KillManager.OnTrailInterrupted. Игрок пересекает свой трейл без последствий."
Sprint 2 — Бустеры (остальные),"MeteorBooster","Прицеливание (клик/тап для игрока, авто для ботов). Анимация падения (DOTween). По приземлении: grid.GetHexesInRadius + territoryManager.ReleaseHexes."
Sprint 2 — Бустеры (остальные),"TrailCutterBooster","Снаряд в направлении движения. Попадание в трейл противника → Conqueror.CutTrailFrom(hitHex) → удалить хвост трейла от точки попадания. territoryManager.ReleaseHexes(cutHexes). Новый метод в Conqueror: CutTrailFrom(IHex)."
Sprint 2 — Бустеры (остальные),"CaptureRakeBooster","Трейл захватывает 3 гекса в ширину (1 основной + 2 перпендикулярных). Conqueror._rakeActive флаг. SetTrailWidth(3/1). Перпендикулярные соседи вычисляются через Mover.CurrentDirection + HexGrid.GetNeighbours."
Sprint 3 — AI + BoostViewer,"BotContext.HasActiveBooster","Добавить поле HasActiveBooster в BotContext. Обновлять в EnemyBrain при каждом такте."
Sprint 3 — AI + BoostViewer,"EnemyBrain: учёт бустеров","AttackEnemy: повышенный utility при Spikes. ReturnHome: игнорировать угрозу при Wings. Collect: не идти за бустером если уже есть активный."
Sprint 3 — AI + BoostViewer,"BoostViewer UI","Иконка + таймбар активного бустера в HUD. Подписка на BoosterHandler.BoosterActivated / BoosterReverted. DOFillAmount для таймбара."
Sprint 4 — UI полировка,"StartGameWindow","Экран перед стартом. Поле ввода имени (TMP InputField). Кнопка Играть. Bootstrap ждёт подтверждения (timeScale=0). Имя передаётся в PlayerSpawner."
Sprint 4 — UI полировка,"EndgameWindow: анимации","DOTween fade-in + scale punch на заголовке при Show()."
Sprint 4 — UI полировка,"EndgameWindow: место и очки","Показывать место игрока (1-6) и очки по таблице (600/500/400/300/200/100). Если игрок проиграл — показывать его статы, не победителя."
Sprint 4 — UI полировка,"PauseWindow: SettingsClicked","Обработать событие в GameManager → открывать SettingsWindow."
Sprint 4 — UI полировка,"PauseWindow: кнопка в HUD","Добавить кнопку паузы в HUD (для WebGL — Escape недоступен на мобиле)."
Sprint 4 — UI полировка,"SettingsWindow","Слайдер музыки / SFX (AudioMixer + PlayerPrefs). Кнопка закрыть."
Sprint 4 — UI полировка,"ScoreCalculator","Статичный класс. GetPlaceScore(int place) → 600/500/400/300/200/100. Место определяется в LeaderBoardModel на момент завершения."
Sprint 5 — Платформа,"Установить PluginYG","Добавить пакет PluginYG (Яндекс Games SDK wrapper) через Package Manager."
Sprint 5 — Платформа,"IPlatformService интерфейс","Методы: GetLanguage / ReportScore / ShowAd / GameReady. Реализации: YandexPlatformService и EditorPlatformService. Bootstrap выбирает по Application.platform."
Sprint 5 — Платформа,"YandexGame.GameReadyAPI()","Вызвать в Bootstrap.Start() после инициализации всех систем."
Sprint 5 — Платформа,"Реклама перед рестартом","GameManager.Restart() → IPlatformService.ShowAd(onComplete: LoadScene)."
Sprint 5 — Платформа,"Таблица лидеров Яндекса","YandexGame.NewLeaderboardScores после EndgameWindow."
Sprint 5 — Платформа,"Локализация: Localization.cs","Статичный словарь RU/EN/TR. Все ключи: victory / defeat / restart / continue / exit / pause / territory / kills / coins / place / enter_name / play. Set(yandexLang) в Bootstrap."
Sprint 5 — Платформа,"Локализация: применить везде","EndgameWindow / PauseWindow / StartGameWindow / BoostViewer — все строки через Localization.Get(key)."
Sprint 5 — Платформа,"Тест WebGL билда","Проверить: GameReadyAPI / реклама / язык / лидерборд / Application.Quit убран."
